,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),6.899425287356065,1.0,6.140223077135741,0.013332453431170054,True
C(lead_status),64.47844827586155,2.0,28.6916692037306,6.171759226801249e-13,True
C(lead_status):C(poss_follow_to),0.9755747126437636,2.0,0.43411198140105045,0.6479277608406826,False
Residual,1557.3706896551744,1386.0,,,False
