,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),0.9388888888893975,1.0,0.8259695073583198,0.36351678700432377,False
C(lead_status),122.37569444444298,2.0,53.82883600447851,1.1211136079504574e-23,True
C(lead_status):C(poss_follow_to),4.109027777777699,2.0,1.807419221537144,0.16426348696571733,False
Residual,3266.90833333334,2874.0,,,False
