,sum_sq,df,F,PR(>F),signif
Intercept,3403.0474137928904,1.0,2961.725035591712,0.0,True
"C(poss_follow_to, Sum)",5.31179363419158e-26,1.0,4.6229365263963794e-26,1.0,False
"C(lead_status, Sum)",111.5366379310375,2.0,48.53603443889403,1.9131588108554622e-21,True
"C(is_home, Sum)",0.4152298850574367,1.0,0.36138102017503204,0.5477894038481571,False
"C(lead_status, Sum):C(poss_follow_to, Sum)",1.618534482758548,2.0,0.7043178533342374,0.4945342053126003,False
"C(is_home, Sum):C(poss_follow_to, Sum)",4.833333333333049,1.0,4.206525092971757,0.040362560278158106,True
"C(lead_status, Sum):C(is_home, Sum)",0.7119252873566326,2.0,0.30979981919865307,0.7336191890508774,False
"C(lead_status, Sum):C(is_home, Sum):C(poss_follow_to, Sum)",0.7852011494253612,2.0,0.34168637980223193,0.7106009423459743,False
Residual,3185.0517241379425,2772.0,,,False
