,sum_sq,df,F,PR(>F),signif
Intercept,3278.1756465516264,1.0,2931.5365452683595,0.0,True
"C(lead_status, Sum)",112.83620689655382,2.0,50.4523704357737,3.001723642377598e-22,True
"C(is_home, Sum):C(poss_follow_to, Sum)",3.503951149424347,3.0,1.0444794051001927,0.37168294026627574,False
Residual,3106.4841954023,2778.0,,,False
