,sum_sq,df,F,PR(>F),signif
Intercept,3383.175646551624,1.0,2986.116677977439,0.0,True
"C(poss_follow_to, Sum)",0.6038074712646582,1.0,0.5329429354543169,0.4654338522514355,False
"C(lead_status, Sum)",114.07974137930785,2.0,50.345511723478594,3.3319521842512233e-22,True
"C(is_home, Sum)",0.9342672413792835,1.0,0.8246190214848137,0.363912005511953,False
"C(lead_status, Sum):C(poss_follow_to, Sum)",5.789511494251983,2.0,2.5550191057844223,0.07787356981352937,False
"C(is_home, Sum):C(poss_follow_to, Sum)",8.629669540229346,1.0,7.616867355314103,0.0058204770751676335,True
"C(lead_status, Sum):C(is_home, Sum)",4.9331896551724235,2.0,2.1771083508405957,0.11356255089168493,False
Residual,3142.854166666662,2774.0,,,False
