,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),12.832344213656016,1.0,8.932029757208282,0.0028084441143468703,True
C(is_home),1.425816023732781,1.0,0.9924477507962034,0.3191672184934602,False
C(is_home):C(poss_follow_to),1.8698071216612329,1.0,1.3014904036898358,0.25396650702883783,False
Residual,15487.260385756701,10780.0,,,False
