,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),0.054138594802776156,1.0,0.06825187528284142,0.7939122179214634,False
C(is_home),0.00024061597690182488,1.0,0.00030334166792449294,0.9861050180920882,False
C(is_home):C(poss_follow_to),2.1715591915306303,1.0,2.737658553008036,0.09808386070170294,False
Residual,3293.4398460057746,4152.0,,,False
