,sum_sq,df,F,PR(>F),signif
Intercept,3434.074712643574,1.0,3045.2259977915714,0.0,True
"C(is_home, Sum)",0.9712643678160536,1.0,0.8612857177254507,0.3534597679685634,False
"C(lead_status, Sum)",118.1300287356331,2.0,52.37693770918145,4.692194474999961e-23,True
"C(poss_follow_to, Sum)",0.09195402298868825,1.0,0.08154184309843258,0.7752400143189542,False
"C(is_home, Sum):C(poss_follow_to, Sum)",0.005747126436779588,1.0,0.005096365193640129,0.9430934372629481,False
Residual,3132.7262931034516,2778.0,,,False
