,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),0.009698275862063321,1.0,0.008404244567958736,0.926976395890165,False
C(is_home),0.2424568965517404,1.0,0.2101061141991048,0.6467920301211966,False
C(is_home):C(poss_follow_to),4.552801724137946,1.0,3.945325922182938,0.0472968248937971,True
Residual,1066.2715517241368,924.0,,,False
