,sum_sq,df,F,PR(>F),signif
C(poss_follow_to),68.26101348098088,1.0,57.406660573836106,3.730206590264631e-14,True
C(is_home),11.49307896003721,1.0,9.66553599429026,0.001880742336751457,True
C(is_home):C(poss_follow_to),1.3004935002412192,1.0,1.093698806092718,0.29566834044188645,False
Residual,19752.968464130954,16612.0,,,False
