game_id,final_score_margin,winning_team
20800380,18,home
20800381,24,home
20800382,-24,away
20800383,0,away
20800384,-29,away
20800385,2,home
20800386,8,home
20800387,11,home
20800388,-17,away
20800389,-7,away
20800390,3,home
20800391,-1,away
20800392,-7,away
20800393,-3,away
20800394,9,home
20800395,8,home
20800396,34,home
20800397,10,home
20800398,7,home
20800399,7,home
20800400,19,home
20800401,-11,away
20800402,-11,away
20800403,32,home
20800404,-23,away
20800405,-9,away
20800406,16,home
20800407,8,home
20800408,-22,away
20800409,11,home
20800410,8,home
20800411,9,home
20800412,-1,away
20800413,19,home
20800414,8,home
20800415,6,home
20800416,8,home
20800417,-13,away
20800418,18,home
20800419,6,home
20800420,9,home
20800421,20,home
20800422,-1,away
20800423,9,home
20800424,4,home
20800425,-8,away
20800426,13,home
20800427,-8,away
20800428,-13,away
20800429,2,home
20800430,3,home
20800431,9,home
20800432,4,home
20800433,9,home
20800434,-6,away
20800435,10,home
20800436,12,home
20800437,0,away
20800438,9,home
20800439,-24,away
20800440,0,away
20800441,-11,away
20800442,0,away
20800443,13,home
20800444,-7,away
20800445,-22,away
20800446,7,home
20800447,-2,away
20800448,-45,away
20800449,17,home
20800450,18,home
20800451,6,home
20800452,-13,away
20800453,0,away
20800454,-8,away
20800455,-2,away
20800456,17,home
20800457,6,home
20800458,-4,away
20800459,-6,away
20800460,9,home
20800461,-12,away
20800462,12,home
20800463,7,home
20800464,-2,away
20800465,5,home
20800466,2,home
20800467,-19,away
20800468,8,home
20800469,4,home
20800470,-7,away
20800471,7,home
20800472,-8,away
20800473,10,home
20800474,21,home
20800475,25,home
20800476,25,home
20800477,0,away
20800478,-2,away
20800479,6,home
20800480,-11,away
20800481,7,home
20800482,-2,away
20800483,10,home
20800484,28,home
20800485,8,home
20800486,-15,away
20800487,13,home
20800488,3,home
20800489,10,home
20800490,5,home
20800491,0,away
20800492,-10,away
20800493,2,home
20800494,5,home
20800495,6,home
20800496,3,home
20800497,-1,away
20800498,20,home
20800499,12,home
20800500,14,home
20800501,-7,away
20800502,8,home
20800503,10,home
20800504,20,home
20800505,5,home
20800506,0,away
20800507,9,home
20800508,8,home
20800509,-7,away
20800510,8,home
20800511,5,home
20800512,5,home
20800513,-11,away
20800514,-4,away
20800515,30,home
20800516,-6,away
20800517,-4,away
20800518,11,home
20800519,-5,away
20800520,42,home
20800521,11,home
20800522,-3,away
20800523,26,home
20800524,1,home
20800525,-8,away
20800526,5,home
20800527,22,home
20800528,34,home
20800529,6,home
20800530,21,home
20800531,15,home
20800532,27,home
20800533,-2,away
20800534,12,home
20800535,2,home
20800536,-3,away
20800537,0,away
20800538,2,home
20800539,28,home
20800540,-3,away
20800541,2,home
20800542,0,away
20800543,20,home
20800544,17,home
20800545,13,home
20800546,-6,away
20800547,-15,away
20800548,-6,away
20800549,-7,away
20800550,3,home
20800551,7,home
20800552,3,home
20800553,-6,away
20800554,0,away
20800555,0,away
20800556,-6,away
20800557,-14,away
20800558,7,home
20800559,-2,away
20800560,-15,away
20800561,-3,away
20800562,-5,away
20800563,2,home
20800564,5,home
20800565,-32,away
20800566,0,away
20800567,21,home
20800568,-4,away
20800569,32,home
20800570,6,home
20800571,-3,away
20800572,21,home
20800573,-7,away
20800574,1,home
20800575,0,away
20800576,-17,away
20800577,-6,away
20800578,0,away
20800579,0,away
20800580,7,home
20800581,22,home
20800582,7,home
20800583,14,home
20800584,-10,away
20800585,10,home
20800586,-2,away
20800587,-7,away
20800588,5,home
20800589,-6,away
20800590,-20,away
20800591,0,away
20800592,-6,away
20800593,-10,away
20800594,-5,away
20800595,7,home
20800596,7,home
20800597,-18,away
20800598,9,home
20800599,-4,away
20800600,-10,away
20800601,4,home
20800602,-2,away
20800603,3,home
20800604,-2,away
20800605,2,home
20800606,-8,away
20800607,3,home
20800608,21,home
20800609,-8,away
20800610,17,home
20800611,17,home
20800612,17,home
20800613,-3,away
20800614,18,home
20800615,19,home
20800616,5,home
20800617,15,home
20800618,19,home
20800619,-15,away
20800620,5,home
20800621,34,home
20800622,10,home
20800623,9,home
20800624,-6,away
20800625,-3,away
20800626,-1,away
20800627,-11,away
20800628,-10,away
20800629,20,home
20800630,22,home
20800631,-21,away
20800632,5,home
20800633,30,home
20800634,20,home
20800635,8,home
20800636,-20,away
20800637,3,home
20800638,-1,away
20800639,3,home
20800640,6,home
20800641,6,home
20800642,-11,away
20800643,2,home
20800644,-5,away
20800645,13,home
20800646,24,home
20800647,14,home
20800648,-5,away
20800649,16,home
20800650,-3,away
20800651,5,home
20800652,0,away
20800653,20,home
20800654,15,home
20800655,-16,away
20800656,16,home
20800657,6,home
20800658,-7,away
20800659,15,home
20800660,9,home
20800661,-25,away
20800662,7,home
20800663,24,home
20800664,-15,away
20800665,-6,away
20800666,0,away
20800667,8,home
20800668,19,home
20800669,22,home
20800670,-1,away
20800671,8,home
20800672,-9,away
20800673,13,home
20800674,0,away
20800675,-2,away
20800676,24,home
20800677,14,home
20800678,-20,away
20800679,11,home
20800680,-10,away
20800681,-8,away
20800682,11,home
20800683,10,home
20800684,-11,away
20800685,17,home
20800686,17,home
20800687,-13,away
20800688,11,home
20800689,20,home
20800690,-4,away
20800691,-21,away
20800692,-9,away
20800693,-2,away
20800694,-15,away
20800695,-17,away
20800696,12,home
