,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,TIME,TEAM,TYPE,SUB_TYPE,ASSIST_PLAYER_ID,ASSIST_COUNT,BLOCK_PLAYER_ID,BLOCK_COUNT,REBOUND_PLAYER_ID,REBOUND_TEAM,REBOUND_OFFENSIVE_COUNT,REBOUND_DEFENSIVE_COUNT,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,SUB_ENTERED_PLAYER_ID,SUB_LEAVING_PLAYER_ID,FREE_THROW_PLAYER_ID,FREE_THROW_NUM,FREE_THROW_TOTAL,FREE_THROW_MADE,FOULED_BY_PLAYER_ID,DRAWN_FOUL_PLAYER_ID,FOUL_COUNT,TEAM_FOUL_COUNT,FOUL_TYPE,TECHNICAL_PLAYER_ID,DOUBLE_TECHNICAL_PLAYER_ID_1,DOUBLE_TECHNICAL_PLAYER_ID_2,DOUBLE_PERSONAL_PLAYER_ID_1,DOUBLE_PERSONAL_PLAYER_ID_2,DOUBLE_PERSONAL_FOUL_COUNT_1,DOUBLE_PERSONAL_FOUL_COUNT_2,COACH_TECHNICAL,SHOT_PLAYER_ID,POINTS_SCORED,TOTAL_POINTS_SCORED,SHOT_MADE,SHOT_TYPE,STEAL_PLAYER_ID,STEAL_COUNT,TURNOVER_PLAYER_ID,TURNOVER_COUNT,TEAM_TURNOVER_COUNT,TURNOVER_TYPE,POSSESSION_ID,PERIOD_START,PERIOD_END,TIMEOUT_TYPE,VIOLATION,VIOLATION_PLAYER_ID,EJECTION,EJECTION_PLAYER_ID,HOME_PLAYER_ID_1,HOME_PLAYER_ID_2,HOME_PLAYER_ID_3,HOME_PLAYER_ID_4,HOME_PLAYER_ID_5,AWAY_PLAYER_ID_1,AWAY_PLAYER_ID_2,AWAY_PLAYER_ID_3,AWAY_PLAYER_ID_4,AWAY_PLAYER_ID_5,HOME_PLAYER_ID_1_PLAY_TIME,HOME_PLAYER_ID_2_PLAY_TIME,HOME_PLAYER_ID_3_PLAY_TIME,HOME_PLAYER_ID_4_PLAY_TIME,HOME_PLAYER_ID_5_PLAY_TIME,AWAY_PLAYER_ID_1_PLAY_TIME,AWAY_PLAYER_ID_2_PLAY_TIME,AWAY_PLAYER_ID_3_PLAY_TIME,AWAY_PLAYER_ID_4_PLAY_TIME,AWAY_PLAYER_ID_5_PLAY_TIME
176,0,4,202,20800003,Bryant REBOUND (Off:2 Def:5),,4:33,2,4.0,0,0,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:34 PM,Lakers,Trail Blazers,38,24,1167,,,,,,,,977.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,905.0,585.0,651.0,585.0,989.0,862.0,609.0,685.0,827.0,889.0
177,79,1,203,20800003,Bryant 18' Pullup Jump Shot (4 PTS),,4:30,2,4.0,0,0,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,24 - 40,16,,11:34 PM,Lakers,Trail Blazers,40,24,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.0,,4.0,True,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,908.0,588.0,654.0,588.0,992.0,865.0,612.0,688.0,830.0,892.0
178,1,6,204,20800003,Gasol P.FOUL (P2.T4),,4:17,2,4.0,5,1,2200,Pau Gasol,LAL,Los Angeles,1610612747.0,Lakers,2581,Steve Blake,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,,,,11:34 PM,Lakers,Trail Blazers,40,24,1183,,,,,,,,,,,,,,,,,,,,,2200.0,2581.0,2.0,4,P.FOUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,921.0,601.0,667.0,601.0,1005.0,878.0,625.0,701.0,843.0,905.0
179,1,2,205,20800003,Bynum BLOCK (1 BLK),,4:11,2,5.0,0,4,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,101115,Andrew Bynum,LAL,Los Angeles,1610612747.0,Lakers,,,MISS Outlaw 8' Jump Shot,11:35 PM,Lakers,Trail Blazers,40,24,1189,,,,,,101115.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2566.0,,,False,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,927.0,607.0,673.0,607.0,1011.0,884.0,631.0,707.0,849.0,911.0
180,0,4,206,20800003,,,4:09,2,5.0,0,0,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,Outlaw REBOUND (Off:1 Def:2),11:35 PM,Lakers,Trail Blazers,40,24,1191,,,,,,,,2566.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,929.0,609.0,675.0,609.0,1013.0,886.0,633.0,709.0,851.0,913.0
181,2,5,207,20800003,Bryant STEAL (1 STL),,4:08,2,5.0,4,0,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,,,Outlaw Lost Ball Turnover (P1.T7),11:35 PM,Lakers,Trail Blazers,40,24,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.0,1.0,2566.0,1.0,7.0,Ball Turnover,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,930.0,610.0,676.0,610.0,1014.0,887.0,634.0,710.0,852.0,914.0
182,88,1,208,20800003,Radmanovic  Driving Slam Dunk (2 PTS) (Bryant 4 AST),,4:03,2,4.0,4,0,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,24 - 42,18,,11:35 PM,Lakers,Trail Blazers,42,24,1197,,,,977.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.0,,2.0,True,Dunk,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,935.0,615.0,681.0,615.0,1019.0,892.0,639.0,715.0,857.0,919.0
183,3,2,209,20800003,,,3:44,2,5.0,0,0,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,MISS Oden 4' Hook Shot,11:35 PM,Lakers,Trail Blazers,42,24,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201141.0,,,False,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,954.0,634.0,700.0,634.0,1038.0,911.0,658.0,734.0,876.0,938.0
184,0,4,210,20800003,,,3:40,2,5.0,0,0,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,Oden REBOUND (Off:3 Def:2),11:35 PM,Lakers,Trail Blazers,42,24,1220,,,,,,,,201141.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,958.0,638.0,704.0,638.0,1042.0,915.0,662.0,738.0,880.0,942.0
185,2,5,211,20800003,Radmanovic STEAL (2 STL),,3:37,2,5.0,4,0,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,,,Oden Lost Ball Turnover (P2.T8),11:35 PM,Lakers,Trail Blazers,42,24,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.0,2.0,201141.0,2.0,8.0,Ball Turnover,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,961.0,641.0,707.0,641.0,1045.0,918.0,665.0,741.0,883.0,945.0
