abs_two_mins_score_margin,leading_team_won
0,0.3051643192488263
1,0.4921985815602837
2,0.5806451612903226
3,0.7056396148555708
4,0.7545180722891566
5,0.8142414860681114
6,0.8744326777609682
7,0.9354275741710296
8,0.9365079365079365
9,0.9386617100371747
10,0.9504950495049505
11,0.9591836734693877
12,0.9606481481481481
13,0.9740932642487047
14,0.9738372093023255
15,0.9891304347826086
16,0.9581151832460733
17,0.9791666666666666
18,0.95
19,0.9736842105263158
20,0.96
21,0.9688715953307393
22,0.988950276243094
23,0.9705882352941176
24,0.9673202614379085
25,0.9555555555555556
26,0.9624060150375939
27,0.9891304347826086
28,0.9473684210526315
29,0.9736842105263158
30,0.9726027397260274
31,0.9534883720930233
32,0.9365079365079365
33,0.9722222222222222
34,0.9696969696969697
35,0.9655172413793104
36,0.9705882352941176
37,0.9629629629629629
38,0.9473684210526315
39,1.0
40,1.0
41,0.9411764705882353
42,1.0
43,1.0
44,1.0
45,1.0
46,0.8888888888888888
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
63,1.0
